name,url,price,img,brand,brand_url
 Beads & Cords Necklace,http://www.koovs.com/beads--cords-necklace-74751.html,399,http://images.koovscdn.com/uploads/products/74751_42d849167f439c344b7d5a2853b1952d_image1_zoom.jpg,Alto Vida,http://www.koovs.com/men/brand/alto-vida/
 Tinted Lens Round Sunglasses,http://www.koovs.com/black-phoenix-tinted-lens-round-sunglasses-81379.html,1195,http://images.koovscdn.com/uploads/products/81379_da4ac0a2902d066fcf7dfdacfe0f7772_image1_zoom.jpg,Black Phoenix,http://www.koovs.com/men/brand/black-phoenix/
 Gel-kayano Trainers,http://www.koovs.com/asics-tiger-gel-kayano-trainer-knit-90217.html,10999,http://images.koovscdn.com/uploads/products/90217_fea243ea8274f08f12092b47d228c2b0_image1_zoom.jpg,Asics Tiger,http://www.koovs.com/men/brand/asics-tiger/
 Striped T-Shirt With Pocket,http://www.koovs.com/striped-t-shirt-with-pocket-91164.html,899,http://images.koovscdn.com/uploads/products/91164_40f2a49b3539b3601461197a35cda9f9_image1_zoom.jpg,Atorse,http://www.koovs.com/men/brand/atorse/
 Shirt With Contrast Sleeves & Hem,http://www.koovs.com/shirt-with-contrast-sleeves--hem-87476.html,1399,http://images.koovscdn.com/uploads/products/87476_f40d1d02d6fc9d85d68ea78c353ba797_image1_zoom.jpg,Atorse,http://www.koovs.com/men/brand/atorse/
 Basic Cuffed Joggers,http://www.koovs.com/basic-cuffed-joggers-91288.html,1299,http://images.koovscdn.com/uploads/products/91288_98d0b5b6d56bbdaf89d8ecce143e3514_image1_zoom.jpg,Antigravity,http://www.koovs.com/men/brand/antigravity/
 Washed Denim Shorts,http://www.koovs.com/washed-denim-shorts_495-91298.html,1999,http://images.koovscdn.com/uploads/products/91298_607a44b9d3eba82d82de2a89e1171fb5_image1_zoom.jpg,Antigravity,http://www.koovs.com/men/brand/antigravity/
 Skinny Jeans With Text Patches,http://www.koovs.com/knee-rip-skinny-jeans-89575.html,3999,http://images.koovscdn.com/uploads/products/89575_c3ae387170c76b957f40a409ec4febdf_image1_zoom.jpg,Being Human,http://www.koovs.com/men/brand/being-human/
 Mesh T-Shirt With Contrast Sleeve Panel,http://www.koovs.com/sleeve-panel-mesh-t-shirt-81658.html,1195,http://images.koovscdn.com/uploads/products/81658_88a2cdabb151d6d35857556a388a0402_image1_zoom.jpg,Zero.Zero,http://www.koovs.com/men/brand/zero-zero/
 Folk Necklace,http://www.koovs.com/folk-necklace_448-85272.html,499,http://images.koovscdn.com/uploads/products/85272_1df39fae703e1c0e2637ab9d9a334765_image1_zoom.jpg,Wanderlust,http://www.koovs.com/men/brand/wanderlust/
 Analog Watch With Synthetic Leather Strap,http://www.koovs.com/timesmith-analog-watch-with-synthetic-leather-strap-92234.html,699,http://images.koovscdn.com/uploads/products/92234_560ae746e5a9df2c10898b2cf5cc6494_image1_zoom.jpg,Watch Me,http://www.koovs.com/men/brand/watch-me/
 Shirt With Drawstring At Hem,http://www.koovs.com/shirt-with-drawstring-at-hem-88669.html,1399,http://images.koovscdn.com/uploads/products/88669_c8618664e2e54e91917be50e7ad8e881_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Crew Neck Solid T-Shirt,http://www.koovs.com/blue-saint-t-shirt_10_137-83448.html,399,http://images.koovscdn.com/uploads/products/83448_6d16aeee85d2466055714ba781853993_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Choker,http://www.koovs.com/wanderlust-choker-87517.html,629,http://images.koovscdn.com/uploads/products/87517_aea48399f78d5ed0bc0ef94895bb0cf3_image1_zoom.jpg,Wanderlust,http://www.koovs.com/women/brand/wanderlust/
 Colour Block T-Shirt,http://www.koovs.com/colour-block-t-shirt_431-93399.html,699,http://images.koovscdn.com/uploads/products/93399_8a0de695c132109f8a395b76a79dac1f_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Camo Printed Cargo Joggers,http://www.koovs.com/camo-cargo-joggers-93432.html,1899,http://images.koovscdn.com/uploads/products/93432_6002541d8eb049d3249bf00d12c51e10_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Henley T-Shirt,http://www.koovs.com/blue-saint-henley-81360.html,399,http://images.koovscdn.com/uploads/products/81360_4256d8ebb52a0f3da5d2f93a367c385a_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Double Layer T-Shirt,http://www.koovs.com/double-layer-t-shirt-88728.html,999,http://images.koovscdn.com/uploads/products/88728_e9c2b3ea4ae65cc1a49a5992b1f0ee44_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
